SpecialDay,OperatingSystems,Browser,Region,TrafficType,VisitorType,Weekend,SeasonBins
0.0,1,1,1,1,Returning_Visitor,False,1
0.0,2,2,1,2,Returning_Visitor,False,1
0.0,4,1,9,3,Returning_Visitor,False,1
0.0,3,2,2,4,Returning_Visitor,False,1
0.0,3,3,1,4,Returning_Visitor,True,1
0.0,2,2,1,3,Returning_Visitor,False,1
0.4,2,4,3,3,Returning_Visitor,False,1
0.0,1,2,1,5,Returning_Visitor,True,1
0.8,2,2,2,3,Returning_Visitor,False,1
0.4,2,4,1,2,Returning_Visitor,False,1
0.0,1,1,3,3,Returning_Visitor,False,1
0.4,1,1,4,3,Returning_Visitor,False,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.0,2,5,1,3,Returning_Visitor,False,1
0.0,3,2,3,3,Returning_Visitor,False,1
0.0,1,1,9,3,Returning_Visitor,False,1
0.0,1,1,4,3,Returning_Visitor,False,1
0.0,1,1,1,4,Returning_Visitor,True,1
0.0,2,2,1,3,Returning_Visitor,False,1
0.0,2,4,4,4,Returning_Visitor,False,1
1.0,2,2,5,1,Returning_Visitor,True,1
0.0,3,3,1,3,Returning_Visitor,False,1
0.0,3,2,1,5,Returning_Visitor,False,1
0.8,2,4,1,3,Returning_Visitor,False,1
0.0,2,2,4,1,Returning_Visitor,True,1
0.0,1,1,9,3,Returning_Visitor,False,1
0.0,2,2,1,3,Returning_Visitor,False,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.2,2,6,1,3,Returning_Visitor,False,1
0.4,3,2,1,1,Returning_Visitor,False,1
0.0,1,1,6,3,Returning_Visitor,False,1
0.0,1,2,6,6,Returning_Visitor,True,1
0.0,2,2,1,1,Returning_Visitor,False,1
0.0,1,1,3,1,Returning_Visitor,False,1
0.0,2,2,1,1,Returning_Visitor,False,1
0.0,2,2,7,1,Returning_Visitor,False,1
0.0,3,2,1,4,Returning_Visitor,True,1
0.8,2,2,8,4,Returning_Visitor,False,1
0.6,2,2,1,3,Returning_Visitor,False,1
0.0,2,5,1,6,Returning_Visitor,False,1
0.0,2,2,8,4,Returning_Visitor,False,1
0.6,1,1,3,2,Returning_Visitor,False,1
0.0,1,1,4,4,Returning_Visitor,False,1
0.4,3,2,2,3,Returning_Visitor,False,1
0.0,4,1,1,3,Returning_Visitor,False,1
0.2,2,5,1,4,Returning_Visitor,False,1
0.0,1,1,1,2,Returning_Visitor,False,1
0.2,3,2,1,3,Returning_Visitor,False,1
0.0,3,2,1,3,Returning_Visitor,False,1
0.6,2,2,3,2,Returning_Visitor,False,1
0.0,1,1,3,4,Returning_Visitor,True,1
0.2,3,2,1,3,Returning_Visitor,False,1
1.0,2,4,4,2,Returning_Visitor,True,1
0.0,4,2,2,3,Returning_Visitor,False,1
0.4,3,3,1,4,Returning_Visitor,False,1
0.2,2,4,1,3,Returning_Visitor,False,1
0.6,3,2,3,3,Returning_Visitor,False,1
0.2,2,2,4,1,Returning_Visitor,False,1
0.4,2,6,6,3,Returning_Visitor,False,1
0.6,2,4,2,1,Returning_Visitor,False,1
0.4,1,1,3,3,Returning_Visitor,False,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.0,1,1,3,2,Returning_Visitor,False,1
0.0,2,2,5,4,Returning_Visitor,True,1
0.0,2,2,4,3,Returning_Visitor,False,1
0.8,2,2,3,1,Returning_Visitor,False,1
0.0,4,1,1,3,Returning_Visitor,False,1
0.6,2,2,5,1,Returning_Visitor,False,1
0.0,2,7,2,4,Returning_Visitor,False,1
0.2,3,2,3,3,Returning_Visitor,False,1
0.0,2,6,1,2,Returning_Visitor,False,1
0.0,2,6,6,1,Returning_Visitor,False,1
0.4,2,2,3,3,Returning_Visitor,False,1
0.0,2,4,3,2,Returning_Visitor,False,1
0.0,2,4,3,3,Returning_Visitor,False,1
0.0,2,4,1,1,Returning_Visitor,False,1
0.0,2,6,1,2,Returning_Visitor,False,1
0.6,3,2,3,3,Returning_Visitor,False,1
1.0,1,1,1,3,Returning_Visitor,True,1
0.4,1,1,1,3,Returning_Visitor,False,1
0.0,4,1,1,5,Returning_Visitor,True,1
0.8,1,1,1,3,Returning_Visitor,False,1
0.0,2,2,1,3,Returning_Visitor,False,1
0.0,3,2,4,1,Returning_Visitor,False,1
0.8,2,2,2,1,Returning_Visitor,True,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.0,2,2,2,1,Returning_Visitor,False,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.4,4,1,3,3,Returning_Visitor,False,1
0.0,1,1,4,2,Returning_Visitor,False,1
0.4,1,1,1,3,Returning_Visitor,False,1
0.0,1,1,1,2,Returning_Visitor,True,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.0,2,2,1,5,New_Visitor,False,1
0.6,4,1,3,3,Returning_Visitor,False,1
0.2,1,1,1,3,Returning_Visitor,False,1
0.2,1,1,1,3,Returning_Visitor,False,1
0.6,1,1,1,4,Returning_Visitor,False,1
0.6,2,4,1,7,Returning_Visitor,False,1
0.0,3,2,3,4,Returning_Visitor,False,1
0.4,2,4,1,2,Returning_Visitor,False,1
1.0,1,1,7,4,Returning_Visitor,True,1
0.4,1,1,3,2,Returning_Visitor,False,1
0.8,2,2,4,3,Returning_Visitor,False,1
0.0,1,1,3,4,Returning_Visitor,False,1
0.0,1,1,7,2,Returning_Visitor,False,1
0.8,4,1,1,3,Returning_Visitor,False,1
0.0,1,1,1,3,Returning_Visitor,False,1
0.8,3,3,1,3,Returning_Visitor,False,1
0.0,2,5,1,3,Returning_Visitor,False,1
0.6,2,2,3,3,Returning_Visitor,False,1
0.4,2,2,1,3,Returning_Visitor,False,1
0.8,1,1,2,3,Returning_Visitor,False,1
0.2,2,4,1,1,Returning_Visitor,False,1
0.2,1,1,1,3,Returning_Visitor,False,1
0.0,1,1,1,4,Returning_Visitor,True,1
0.8,3,2,1,3,Returning_Visitor,False,1
0.2,2,2,3,1,Returning_Visitor,False,1
0.0,4,1,3,3,Returning_Visitor,False,1
0.0,2,4,9,3,Returning_Visitor,False,1
0.0,2,4,4,1,Returning_Visitor,False,1
0.6,2,2,1,2,Returning_Visitor,False,1
0.8,1,1,3,3,Returning_Visitor,False,1
0.0,1,1,3,3,Returning_Visitor,False,1
0.0,2,4,3,1,Returning_Visitor,False,1
0.0,1,1,3,3,Returning_Visitor,False,1
0.4,2,2,1,3,Returning_Visitor,False,1
0.4,1,1,8,3,Returning_Visitor,False,1
0.6,2,2,9,3,Returning_Visitor,False,1
0.0,2,4,1,1,Returning_Visitor,False,1
0.0,2,6,1,2,Returning_Visitor,True,1
0.0,2,2,1,6,Returning_Visitor,False,1
0.0,3,2,3,3,Returning_Visitor,False,1
0.8,2,2,4,3,Returning_Visitor,False,1
